Country Name,2019
Afghanistan,0.159824372
Angola,0.792137069
Albania,1.69224832
Andorra,6.481217432
United Arab Emirates,19.32956328
Argentina,3.740650291
Armenia,2.086060678
Antigua and Barbuda,5.354476455
Australia,15.23826715
Austria,7.293984252
Azerbaijan,3.542397828
Burundi,0.062442671
Belgium,8.095583954
Benin,0.618583746
Burkina Faso,0.246046246
Bangladesh,0.556529455
Bulgaria,5.61085728
Bahrain,20.26610279
Bosnia and Herzegovina,6.382918043
Belarus,6.122237765
Belize,1.639550009
Bolivia,1.940398005
Brazil,2.057810839
Barbados,4.355082032
Brunei Darussalam,16.13215855
Bhutan,1.375977209
Botswana,3.147107071
Central African Republic,0.050577648
Canada,15.43061283
Switzerland,4.359041462
Chile,4.821118299
China,7.605936961
Cote d'Ivoire,0.421129515
Cameroon,0.364424922
Colombia,1.609870831
Comoros,0.376076363
Cabo Verde,1.181955675
Costa Rica,1.632471558
Cuba,2.286146065
Cyprus,5.998795283
Czech Republic,9.022786158
Germany,7.911621016
Djibouti,0.431407701
Dominica,2.367424267
Denmark,5.107988509
Dominican Republic,2.535627952
Algeria,3.977650459
Ecuador,2.261469817
Eritrea,0.251635846
Spain,5.09135092
Estonia,7.672277909
Ethiopia,0.163813429
Finland,7.372854761
Fiji,1.831553275
France,4.468770089
Gabon,2.416484011
United Kingdom,5.220514488
Georgia,2.717624226
Ghana,0.658823541
Guinea,0.309288541
Guinea-Bissau,0.171792958
Equatorial Guinea,3.945480032
Greece,5.59618907
Grenada,2.946376075
Guatemala,1.162970924
Guyana,3.640892855
Honduras,1.048622992
Croatia,4.063707833
Haiti,0.294768414
Hungary,4.74663103
Indonesia,2.290397148
India,1.797620119
Ireland,7.245143221
Iraq,4.440624129
Iceland,4.548442258
Israel,6.919593718
Italy,5.311315442
Jamaica,2.845730012
Jordan,2.438204112
Japan,8.540980205
Kazakhstan,11.45693783
Kenya,0.423783898
Kyrgyz Republic,1.556643256
Cambodia,0.98140655
Kiribati,0.765254095
St. Kitts and Nevis,4.731801491
Kuwait,22.0224164
Lao PDR,2.609681834
Lebanon,4.076894274
Liberia,0.23899343
Libya,8.380729344
St. Lucia,2.95412906
Liechtenstein,3.945292108
Sri Lanka,1.090675627
Lesotho,0.362307409
Lithuania,4.198076022
Luxembourg,15.30642656
Latvia,3.955435862
Morocco,1.959872285
Moldova,3.324610168
Madagascar,0.152766255
Maldives,3.973956262
Mexico,3.521600048
Marshall Islands,3.061693238
North Macedonia,3.996737213
Mali,0.29657102
Malta,3.293245606
Myanmar,0.679428523
Montenegro,4.179875994
Mongolia,7.153120086
Mozambique,0.246986412
Mauritania,0.872793555
Mauritius,3.294591006
Malawi,0.077836684
Malaysia,7.927126037
Namibia,1.691705428
Niger,0.092232251
Nigeria,0.573636206
Nicaragua,0.800549594
Netherlands,8.437074627
Norway,6.722269985
Nepal,0.470136453
Nauru,5.574135884
New Zealand,6.830414187
Oman,15.28243639
Pakistan,0.879965499
Panama,3.141454996
Peru,1.745591927
Philippines,1.345029057
Palau,13.88811733
Papua New Guinea,0.863707514
Poland,7.773641839
Portugal,4.339768426
Paraguay,1.165425232
Qatar,32.47446876
Romania,3.817434477
Russian Federation,11.79720293
Rwanda,0.105330369
Saudi Arabia,15.28457873
Sudan,0.481626765
Senegal,0.651679184
Singapore,8.307079491
Solomon Islands,0.537457043
Sierra Leone,0.115189573
El Salvador,1.208637136
Somalia,0.04468071
Serbia,6.616046939
South Sudan,0.153677683
Sao Tome and Principe,0.697518721
Suriname,4.558253785
Slovak Republic,5.698416255
Slovenia,6.512209378
Sweden,3.405037919
Eswatini,0.836140045
Seychelles,6.248399634
Syrian Arab Republic,1.506139442
Chad,0.141093412
Togo,0.293231207
Thailand,3.836090019
Tajikistan,1.010618692
Turkmenistan,12.26335409
Timor-Leste,0.479460533
Tonga,1.531144401
Trinidad and Tobago,12.32285487
Tunisia,2.557564208
Turkiye,4.75658475
Tuvalu,0.858000839
Tanzania,0.21463496
Uganda,0.132370788
Ukraine,3.936583531
Uruguay,1.874784543
United States,14.67341061
Uzbekistan,3.47554445
St. Vincent and the Grenadines,2.350962452
Vietnam,3.488312636
Vanuatu,0.70027542
Samoa,1.522124134
South Africa,7.507736092
Zambia,0.380717051
Zimbabwe,0.80297852
