Country Name,Continent,CO2 emissions (metric tons per capita),Year,CO2 emissions (kg per capita),Air pollution (deaths per 100000),Population
Rwanda,Africa,0.065,2004,64.512,175.479,8427060
Saint Lucia,North America,2.781,2004,2780.85,53.64,159392
Saint Vincent and the Grenadines,North America,2.304,2004,2303.723,61.941,108097
Samoa,Oceania,1.064,2004,1063.848,86.115,176407
Sao Tome and Principe,Africa,0.455,2004,455.326,145.224,147447
Saudi Arabia,Asia,12.964,2004,12963.908,68.185,21805313
Senegal,Africa,0.499,2004,498.608,117.544,10283699
Serbia,Europe,7.55,2004,7550.424,82.591,7496522
Seychelles,Africa,4.607,2004,4607.457,50.48,83723
Sierra Leone,Africa,0.098,2004,97.534,196.479,4965766
Singapore,Asia,9.509,2004,9508.806,36.63,4175950
Slovakia,Europe,6.967,2004,6967.247,55.412,5376912
Slovenia,Europe,7.862,2004,7861.745,36.953,1994530
Solomon Islands,Oceania,0.676,2004,676.046,222.679,435432
Somalia,Africa,0.057,2004,57.254,217.905,9501342
South Africa,Africa,8.035,2004,8035.04,100.255,46150913
South Sudan,Africa,0.132,2004,131.7,179.733,6688226
Spain,Europe,7.818,2004,7817.921,24.027,41431558
Sri Lanka,Asia,0.664,2004,663.842,68.576,19062482
Sudan,Africa,0.292,2004,292.247,145.062,28704778
Suriname,South America,2.816,2004,2815.589,60.969,482235
Sweden,Europe,5.959,2004,5958.727,16.634,8924958
Switzerland,Europe,6.128,2004,6127.51,20.901,7284753
Syria,Asia,2.6,2004,2600.429,74.92,17084632
Tajikistan,Asia,0.39,2004,390.25,114.032,6426867
Tanzania,Africa,0.136,2004,135.902,122.753,35334788
Thailand,Asia,3.234,2004,3233.926,53,64069087
Timor-Leste,Asia,0.206,2004,205.785,132.648,922694
Togo,Africa,0.326,2004,325.544,150.866,5197031
Tonga,Oceania,1.297,2004,1297.224,94.481,99022
Trinidad and Tobago,North America,12.48,2004,12479.508,70.064,1277213
Tunisia,Africa,2.243,2004,2243.003,62.941,9871251
Turkey,Asia,3.352,2004,3351.692,58.948,65145367
Turkmenistan,Asia,10.497,2004,10496.671,96.231,4610005
Uganda,Africa,0.061,2004,60.773,149.313,25167257
Ukraine,Europe,6.473,2004,6472.697,88.524,48202500
United Arab Emirates,Asia,27.039,2004,27038.938,89.069,3478777
United Kingdom,Europe,9.053,2004,9053.159,29.26,59370479
United States,North America,19.598,2004,19597.631,28.651,287625193
Uruguay,South America,1.644,2004,1643.843,29.26,3326040
Uzbekistan,Asia,4.827,2004,4826.721,125.191,25271850
Vanuatu,Oceania,0.343,2004,342.93,166.692,193920
Vietnam,Asia,1.024,2004,1023.924,85.312,81534407
Zambia,Africa,0.183,2004,182.674,148.451,10971698
Zimbabwe,Africa,0.813,2004,812.818,154.362,11954290
Afghanistan,Asia,0.06,2005,60.419,271.303,23680871
Albania,Europe,1.338,2005,1338.209,60.305,3039616
Algeria,Africa,2.841,2005,2841.351,54.598,32264157
Andorra,Europe,7.354,2005,7353.78,19.813,73182
Angola,Africa,0.814,2005,813.539,169.936,18121479
Antigua and Barbuda,North America,5.033,2005,5033.021,43.175,79300
Argentina,South America,3.754,2005,3753.639,43.51,38087868
Armenia,Asia,1.496,2005,1496.011,92.453,3017932
Australia,Oceania,18.146,2005,18146.292,17.238,19895400
Austria,Europe,9.266,2005,9266.114,27.281,8121423
Azerbaijan,Asia,3.58,2005,3579.664,112.562,8234100
Bahrain,Asia,23.269,2005,23269.232,107.7,778708
Bangladesh,Asia,0.235,2005,235.264,146.996,134791603
Barbados,North America,5.139,2005,5138.969,45.781,274329
Belarus,Europe,5.875,2005,5875.465,80.949,9796749
Belgium,Europe,10.556,2005,10555.782,30.429,10376133
Belize,North America,1.656,2005,1656.108,65.125,269425
Benin,Africa,0.363,2005,363.307,145.773,7520555
Bhutan,Asia,0.493,2005,493.261,112.593,627839
Bolivia,South America,1.089,2005,1088.569,84.175,8905823
Bosnia and Herzegovina,Europe,4.31,2005,4310.377,64.881,3762173
Botswana,Africa,2.379,2005,2378.998,80.052,1734398
Brazil,South America,1.782,2005,1782.062,46.847,181809246
Brunei,Asia,13.667,2005,13667.039,32.086,353293
Bulgaria,Europe,6.266,2005,6265.854,72.169,7775327
Burkina Faso,Africa,0.079,2005,78.975,161.296,12654621
Burundi,Africa,0.02,2005,20.367,191.356,6909154
Cambodia,Asia,0.2,2005,200.401,163.242,12856163
Cameroon,Africa,0.283,2005,283.082,158.93,16800865
Canada,North America,17.027,2005,17027.485,19.17,31644028
Cape Verde,Africa,0.95,2005,950.254,63.711,449930
Central African Republic,Africa,0.054,2005,54.477,226.431,3881181
Chad,Africa,0.048,2005,47.541,189.046,9373916
Chile,South America,3.459,2005,3458.629,34.606,15849652
China,Asia,4.468,2005,4467.7,122.312,1288400000
Colombia,South America,1.352,2005,1351.537,39.121,41483869
Comoros,Africa,0.245,2005,245.248,28.563,583211
Costa Rica,North America,1.463,2005,1463.072,52.341,4164053
Croatia,Europe,4.977,2005,4976.631,40.645,4303399
Cuba,North America,2.337,2005,2337.149,45.368,11229183
Cyprus,Europe,7.687,2005,7687.39,44.75,993563
Czech Republic,Europe,11.751,2005,11750.804,30.178,10193998
Denmark,Europe,9.263,2005,9262.963,110.461,5390574
Djibouti,Africa,0.549,2005,548.996,43.782,759641
Dominica,North America,2.267,2005,2266.931,35.77,70100
Dominican Republic,North America,2.054,2005,2054.464,37.553,8850317
Ecuador,South America,2.041,2005,2041.106,52.782,13369678
El Salvador,North America,1.13,2005,1130.182,122.305,5994077
Equatorial Guinea,Africa,11.1,2005,11100.334,173.551,686664
Eritrea,Africa,0.212,2005,212.265,39.461,2600973
Estonia,Europe,12.718,2005,12717.979,155.183,1370720
Ethiopia,Africa,0.066,2005,66.146,133.782,72170584
Fiji,Oceania,1.57,2005,1570.096,16.453,816076
Finland,Europe,10.572,2005,10571.671,19.255,5213014
France,Europe,6.025,2005,6025.069,97.89,62244886
Gabon,Africa,4.358,2005,4357.988,27.551,1319953
Germany,Europe,9.729,2005,9729.424,131.924,82534176
Ghana,Africa,0.323,2005,322.719,34.399,20750299
Greece,Europe,9.279,2005,9278.883,55.755,10928070
Grenada,North America,2.389,2005,2388.733,101.375,104005
Guatemala,North America,0.89,2005,890.465,181.013,12500478
Guinea,Europe,0.201,2005,200.887,209.338,8753093
Guinea-Bissau,Africa,0.156,2005,156.142,81.252,1283305
Guyana,South America,1.983,2005,1983.499,151.922,745143
Haiti,North America,0.185,2005,184.877,66.895,8900104
Honduras,North America,0.934,2005,934.444,55.767,7106319
Hungary,Europe,5.544,2005,5543.733,15.946,10129552
Iceland,Europe,7.717,2005,7717.349,160.973,289521
India,Asia,0.99,2005,990.293,85.286,1111523144
Indonesia,Asia,1.512,2005,1512.001,104.264,220309469
Iraq,Asia,3.162,2005,3162.065,27.764,25644499
Ireland,Europe,11.214,2005,11214.175,33.539,3996521
Israel,Asia,8.804,2005,8803.625,25.646,6689700
Italy,Europe,8.174,2005,8173.783,40.47,57313203
Jamaica,North America,3.854,2005,3854.015,16.419,2709437
Japan,Asia,9.492,2005,9491.989,62.401,127718000
Jordan,Asia,3.446,2005,3446.279,91.652,5434030
Kazakhstan,Asia,11.171,2005,11171.168,120.401,14909018
Kenya,Africa,0.227,2005,227.168,181.697,34678779
Kiribati,Oceania,0.758,2005,758.24,43.449,88835
Kuwait,Asia,30.795,2005,30794.7,119.354,2161626
Kyrgyzstan,Asia,1.027,2005,1026.615,195.246,5043300
Laos,Asia,0.219,2005,219.067,54.288,5576640
Latvia,Europe,3.444,2005,3443.811,55.393,2287955
Lebanon,Asia,3.678,2005,3677.565,172.124,4388375
Lesotho,Africa,0.215,2005,215.418,140.47,2018348
Liberia,Africa,0.208,2005,208.196,66.486,3077058
Libya,Africa,9.138,2005,9138.389,45.285,5620547
Lithuania,Europe,3.862,2005,3861.517,25.615,3415213
Luxembourg,Europe,25.604,2005,25604.203,73.4,451630
Madagascar,Africa,0.093,2005,93.255,193.682,17279141
Malawi,Africa,0.06,2005,60.193,153.826,12000181
Malaysia,Asia,6.517,2005,6516.777,66.571,24698819
Maldives,Asia,2.253,2005,2252.788,61.666,302683
Mali,Africa,0.129,2005,129.153,127.214,11982695
Malta,Europe,6.513,2005,6512.577,33.365,398582
Marshall Islands,Oceania,2.534,2005,2533.616,132.561,53456
Mauritania,Africa,0.499,2005,499.306,113.227,2857148
Mauritius,Africa,2.41,2005,2409.925,59.316,1213370
Mexico,North America,4.077,2005,4077.064,51.165,103081020
Moldova,Europe,2.832,2005,2832.301,88.106,3612874
Mongolia,Asia,4.378,2005,4377.721,146.686,2468762
Montenegro,Europe,3.256,2005,3255.945,59.289,612267
Morocco,Africa,1.431,2005,1430.937,80.548,29782884
Mozambique,Africa,0.083,2005,83.439,159.208,19331100
Myanmar,Asia,0.219,2005,218.999,185.103,48148902
Namibia,Africa,1.305,2005,1305.257,141.648,1879117
Nepal,Asia,0.124,2005,123.91,142.367,25080872
Netherlands,Europe,10.29,2005,10289.911,31.369,16225302
New Zealand,Oceania,8.28,2005,8280.316,16.023,4027200
Nicaragua,North America,0.798,2005,797.986,52.744,5292118
Niger,Africa,0.056,2005,55.782,169.023,12647984
Nigeria,Africa,0.711,2005,710.906,115.011,131900631
Norway,Europe,7.862,2005,7862.364,18.793,4564855
Oman,Asia,12.348,2005,12348.412,70.034,2386166
Pakistan,Asia,0.759,2005,758.995,149.587,153093373
Panama,North America,2.138,2005,2137.996,28.538,3209048
Papua New Guinea,Oceania,0.759,2005,759.057,291.43,6223377
Paraguay,South America,0.635,2005,635.292,54.245,5632983
Peru,South America,1.123,2005,1122.868,51.104,27372226
Philippines,Asia,0.888,2005,888.142,106.457,83051971
Poland,Europe,7.896,2005,7895.886,51.023,38204570
Portugal,Europe,6.233,2005,6233.261,29.505,10458821
Qatar,Asia,44.534,2005,44533.806,94.236,681788
Romania,Europe,4.442,2005,4442.373,66.548,21574326
Russian Federation,Europe,11.232,2005,11231.837,79.922,144648257
Rwanda,Africa,0.062,2005,62.216,163.746,8557161
Saint Lucia,North America,2.693,2005,2692.647,53.99,160530
Saint Vincent and the Grenadines,North America,2.302,2005,2301.665,59.602,108326
Samoa,Oceania,1.168,2005,1168.471,85.295,177484
Sao Tome and Principe,Africa,0.508,2005,508.027,142.323,150415
Saudi Arabia,Asia,13.238,2005,13238.482,68.593,22456649
Senegal,Africa,0.511,2005,511.266,116.042,10541467
Serbia,Europe,6.812,2005,6812.468,82.282,7480591
Seychelles,Africa,4.586,2005,4586.159,50.112,82781
Sierra Leone,Africa,0.08,2005,79.708,194.597,5201070
Singapore,Asia,8.65,2005,8650.272,34.442,4114826
Slovakia,Europe,7.169,2005,7169.437,54.602,5373374
Slovenia,Europe,7.958,2005,7958.114,36.828,1995733
Solomon Islands,Oceania,0.724,2005,723.53,221.85,447017
Somalia,Africa,0.056,2005,55.519,211.741,9815412
South Africa,Africa,7.887,2005,7887.329,99.205,46719196
South Sudan,Africa,0.121,2005,120.755,177.291,6935676
Spain,Europe,8.029,2005,8029.202,23.973,42187645
Sri Lanka,Asia,0.715,2005,715.273,68.186,19224037
Sudan,Africa,0.339,2005,339.262,140.93,29460519
Suriname,South America,3.384,2005,3383.648,60.576,487942
Sweden,Europe,5.561,2005,5560.618,15.845,8958229
Switzerland,Europe,6.165,2005,6165.025,20.56,7339001
Syria,Asia,3.116,2005,3116.358,70.776,17415214
Tajikistan,Asia,0.364,2005,363.807,110.874,6541547
Tanzania,Africa,0.147,2005,147.203,120.395,36337782
Thailand,Asia,3.329,2005,3328.993,50.639,64549866
Timor-Leste,Asia,0.211,2005,211.028,129.737,947108
Togo,Africa,0.312,2005,311.852,150.283,5330639
Tonga,Oceania,1.288,2005,1288.302,93.329,99589
Trinidad and Tobago,North America,13.567,2005,13567.328,71.111,1283559
Tunisia,Africa,2.273,2005,2272.732,60.169,9945277
Turkey,Asia,3.461,2005,3460.796,56.536,66089402
Turkmenistan,Asia,10.64,2005,10640.106,97.61,4655743
Uganda,Africa,0.073,2005,72.965,145.531,25980552
Ukraine,Europe,6.271,2005,6271.286,87.589,47812950
United Arab Emirates,Asia,25.382,2005,25382.381,89.426,3711932
United Kingdom,Europe,8.955,2005,8955.45,28.471,59647577
United States,North America,19.469,2005,19469.262,28.127,290107933
Uruguay,South America,1.632,2005,1631.646,29.159,3323668
Uzbekistan,Asia,4.555,2005,4554.974,128.968,25567650
Vanuatu,Oceania,0.334,2005,334.477,165.563,198959
Vietnam,Asia,1.102,2005,1101.838,84.017,82301656
Zambia,Africa,0.193,2005,193.147,142.518,11256743
Zimbabwe,Africa,0.87,2005,870.271,158.184,11982224
Afghanistan,Asia,0.067,2006,66.583,269.104,24726684
Albania,Europe,1.34,2006,1339.996,58.94,3026939
Algeria,Africa,2.967,2006,2966.915,53.245,32692163
Andorra,Europe,6.791,2006,6790.543,19.758,76244
Angola,Africa,0.822,2006,821.84,167.141,18758145
Antigua and Barbuda,North America,5.319,2006,5319.47,42.214,80336
Argentina,South America,3.942,2006,3942.491,41.133,38491972
Armenia,Asia,1.518,2006,1517.763,89.09,3000720
Australia,Oceania,18.141,2006,18141.453,16.348,20127400
Austria,Europe,8.962,2006,8961.569,26.059,8171966
Azerbaijan,Asia,3.594,2006,3593.591,109.277,8306500
Bahrain,Asia,23.466,2006,23465.63,106.55,829844
Bangladesh,Asia,0.255,2006,254.752,146.157,136986432
Barbados,North America,5.298,2006,5297.775,45.534,275284
Belarus,Europe,6.155,2006,6155.176,78.846,9730146
Belgium,Europe,10.301,2006,10300.572,28.77,10421137
Belize,North America,1.751,2006,1750.544,62.962,276504
Benin,Africa,0.422,2006,422.301,143.088,7750004
Bhutan,Asia,0.487,2006,486.763,108.68,638815
Bolivia,South America,1.195,2006,1195.259,81.945,9069039
Bosnia and Herzegovina,Europe,4.756,2006,4756.439,63.328,3764194
Botswana,Africa,2.228,2006,2227.777,80.156,1765527
Brazil,South America,1.784,2006,1783.625,45.22,184006481
Brunei,Asia,20.31,2006,20309.943,31.589,359433
Bulgaria,Europe,6.44,2006,6439.924,70.263,7716860
Burkina Faso,Africa,0.09,2006,89.666,158.465,13030569
Burundi,Africa,0.024,2006,23.66,187.611,7131693
Cambodia,Asia,0.22,2006,219.622,157.43,13066469
Cameroon,Africa,0.279,2006,279.307,156.974,17259322
Canada,North America,16.595,2006,16595.35,18.409,31940655
Cape Verde,Africa,1.066,2006,1065.71,61.784,456617
Central African Republic,Africa,0.056,2006,55.851,224.513,3959875
Chad,Africa,0.049,2006,48.771,185.741,9734767
Chile,South America,3.494,2006,3494.45,33.757,16014971
China,Asia,4.91,2006,4910.276,118.001,1296075000
Colombia,South America,1.335,2006,1335.389,38.057,42075955
Comoros,Africa,0.271,2006,271.38,27.729,597228
Costa Rica,North America,1.51,2006,1509.635,49.711,4225155
Croatia,Europe,5.013,2006,5012.573,40.695,4304600
Cuba,North America,2.378,2006,2378.068,44.38,11250365
Cyprus,Europe,7.652,2006,7651.783,42.356,1010408
Czech Republic,Europe,11.779,2006,11778.603,28.683,10197101
Denmark,Europe,10.691,2006,10691.023,105.381,5404523
Djibouti,Africa,0.541,2006,541.184,43.431,771603
Dominica,North America,2.404,2006,2403.914,36.625,70382
Dominican Republic,North America,2.21,2006,2209.644,37.674,8974444
Ecuador,South America,2.143,2006,2143.053,54.37,13596388
El Salvador,North America,1.191,2006,1190.908,113.614,6023797
Equatorial Guinea,Africa,11.944,2006,11944.005,171.23,716949
Eritrea,Africa,0.178,2006,178.191,37.251,2719803
Estonia,Europe,11.865,2006,11865.073,151.361,1362550
Ethiopia,Africa,0.069,2006,68.799,129.526,74239505
Fiji,Oceania,1.667,2006,1666.93,15.723,817860
Finland,Europe,12.726,2006,12726.279,17.802,5228172
France,Europe,5.84,2006,5840.018,95.918,62704895
Gabon,Africa,3.804,2006,3803.813,25.664,1353795
Germany,Europe,9.886,2006,9886.442,131.995,82516260
Ghana,Africa,0.38,2006,380.266,34.297,21272323
Greece,Europe,9.138,2006,9137.631,55.088,10955141
Grenada,North America,2.478,2006,2477.653,98.398,104347
Guatemala,North America,0.872,2006,871.847,180.22,12796925
Guinea,Europe,0.204,2006,204.138,207.016,8925743
Guinea-Bissau,Africa,0.16,2006,159.7,79.746,1313492
Guyana,South America,1.782,2006,1782.042,149.094,745737
Haiti,North America,0.184,2006,184.06,65.76,9047077
Honduras,North America,1.044,2006,1043.973,54.801,7282953
Hungary,Europe,5.507,2006,5506.699,15.427,10107146
Iceland,Europe,7.67,2006,7669.974,151.572,292074
India,Asia,1.043,2006,1042.663,84.774,1129623456
Indonesia,Asia,1.589,2006,1589.363,98.09,223285676
Iraq,Asia,3.022,2006,3022.429,26.289,26313838
Ireland,Europe,11.059,2006,11058.615,31.664,4070262
Israel,Asia,9.12,2006,9120.037,23.773,6809000
Italy,Europe,8.026,2006,8025.766,38.676,57685327
Jamaica,North America,4.378,2006,4378.427,16.03,2725015
Japan,Asia,9.304,2006,9303.737,60.988,127761000
Jordan,Asia,3.366,2006,3366.409,87.82,5580244
Kazakhstan,Asia,12.105,2006,12104.715,119.801,15012985
Kenya,Africa,0.247,2006,247.018,181.323,35635271
Kiribati,Oceania,0.742,2006,741.989,44.285,90499
Kuwait,Asia,30.514,2006,30514.046,117.66,2200492
Kyrgyzstan,Asia,1.019,2006,1019.47,189.189,5104700
Laos,Asia,0.281,2006,280.53,53.179,5662208
Latvia,Europe,3.696,2006,3696.429,55.329,2263122
Lebanon,Asia,3.41,2006,3409.836,175.58,4569378
Lesotho,Africa,0.216,2006,216.088,136.83,2005940
Liberia,Africa,0.207,2006,207.256,65.753,3135651
Libya,Africa,8.989,2006,8989.491,45.081,5710154
Lithuania,Europe,3.982,2006,3981.762,24.736,3377075
Luxembourg,Europe,24.797,2006,24797.044,70.488,458095
Madagascar,Africa,0.087,2006,86.863,189.314,17802997
Malawi,Africa,0.06,2006,60.122,148.807,12301838
Malaysia,Asia,6.645,2006,6644.543,64.912,25190652
Maldives,Asia,2.657,2006,2656.578,57.591,311265
Mali,Africa,0.143,2006,143.145,124.211,12369070
Malta,Europe,6.538,2006,6538.238,32.562,401268
Marshall Islands,Oceania,2.511,2006,2510.535,130.876,54476
Mauritania,Africa,0.556,2006,555.929,110.117,2939247
Mauritius,Africa,2.674,2006,2674.239,58.418,1221003
Mexico,North America,4.168,2006,4167.9,49.61,104514932
Moldova,Europe,2.771,2006,2770.742,85.873,3603945
Mongolia,Asia,4.854,2006,4853.735,140.805,2496391
Montenegro,Europe,3.545,2006,3544.571,58.691,613353
Morocco,Africa,1.461,2006,1460.817,79.471,30115214
Mozambique,Africa,0.088,2006,88.235,157.24,19910552
Myanmar,Asia,0.202,2006,202.227,181.074,48564484
Namibia,Africa,1.283,2006,1283.405,136.129,1907745
Nepal,Asia,0.101,2006,100.511,140.629,25419344
Netherlands,Europe,10.015,2006,10014.62,29.538,16281779
New Zealand,Oceania,8.19,2006,8189.552,15.148,4087500
Nicaragua,North America,0.825,2006,825.209,52.491,5364935
Niger,Africa,0.053,2006,53.026,163.073,13125916
Nigeria,Africa,0.623,2006,622.78,110.256,135320422
Norway,Europe,7.982,2006,7981.673,17.825,4591910
Oman,Asia,15.185,2006,15185.49,68.168,2445517
Pakistan,Asia,0.808,2006,807.693,148.672,156664697
Panama,North America,2.208,2006,2208.35,27.992,3269356
Papua New Guinea,Oceania,0.719,2006,719.133,291.528,6354245
Paraguay,South America,0.668,2006,667.996,55.959,5730549
Peru,South America,1.097,2006,1097.429,49.929,27624213
Philippines,Asia,0.79,2006,790.432,108.493,84710542
Poland,Europe,8.235,2006,8234.912,50.057,38182222
Portugal,Europe,5.745,2006,5744.948,27.079,10483861
Qatar,Asia,42.798,2006,42798.308,89.461,753334
Romania,Europe,4.683,2006,4683.454,62.688,21451748
Russian Federation,Europe,11.568,2006,11568.362,76.228,144067054
Rwanda,Africa,0.061,2006,60.818,154.836,8680524
Saint Lucia,North America,2.902,2006,2902.442,53.172,161816
Saint Vincent and the Grenadines,North America,2.302,2006,2301.983,58.525,108512
Samoa,Oceania,1.106,2006,1105.742,84.705,178590
Sao Tome and Principe,Africa,0.495,2006,494.817,139.769,153737
Saudi Arabia,Asia,13.692,2006,13692.371,68.642,23132682
Senegal,Africa,0.489,2006,489.358,115.515,10810083
Serbia,Europe,7.152,2006,7152.331,80.959,7463157
Seychelles,Africa,4.61,2006,4609.929,49.891,82475
Sierra Leone,Africa,0.101,2006,101.214,194.121,5433991
Singapore,Asia,8.445,2006,8445.107,34.1,4166664
Slovakia,Europe,7.048,2006,7048.133,53.043,5372280
Slovenia,Europe,8.117,2006,8117.126,34.404,1997012
Solomon Islands,Oceania,0.707,2006,706.734,220.267,458539
Somalia,Africa,0.054,2006,53.884,206.244,10130243
South Africa,Africa,7.832,2006,7832.423,96.925,47291610
South Sudan,Africa,0.126,2006,126.464,176.079,7213351
Spain,Europe,7.698,2006,7698.213,22.738,42921895
Sri Lanka,Asia,0.63,2006,629.57,66.803,19387153
Sudan,Africa,0.407,2006,407.431,137.031,30214193
Suriname,South America,3.028,2006,3027.952,60.243,493679
Sweden,Europe,5.385,2006,5385.163,15.433,8993531
Switzerland,Europe,6.077,2006,6077.018,19.349,7389625
Syria,Asia,3.159,2006,3159.095,69.316,17827825
Tajikistan,Asia,0.389,2006,388.583,108.131,6662389
Tanzania,Africa,0.153,2006,152.976,117.309,37379767
Thailand,Asia,3.341,2006,3341.005,49.026,64995299
Timor-Leste,Asia,0.197,2006,196.766,126.515,971893
Togo,Africa,0.272,2006,272.433,146.217,5467766
Tonga,Oceania,1.475,2006,1474.723,91.657,100218
Trinidad and Tobago,North America,15.401,2006,15400.536,68.646,1290123
Tunisia,Africa,2.343,2006,2342.859,58.435,10022277
Turkey,Asia,3.797,2006,3797.151,53.915,67010930
Turkmenistan,Asia,10.794,2006,10793.923,99.431,4703401
Uganda,Africa,0.084,2006,84,141.249,26821297
Ukraine,Europe,6.497,2006,6497.208,87.899,47451600
United Arab Emirates,Asia,22.935,2006,22935.104,88.289,4068570
United Kingdom,Europe,8.909,2006,8908.6,26.56,59987905
United States,North America,18.946,2006,18945.914,26.965,292805298
Uruguay,South America,1.904,2006,1903.529,28.5,3321476
Uzbekistan,Asia,4.808,2006,4808.17,132.401,25864350
Vanuatu,Oceania,0.327,2006,326.525,164.103,204127
Vietnam,Asia,1.121,2006,1121.162,82.819,83062821
Zambia,Africa,0.179,2006,179.077,136.068,11550642
Zimbabwe,Africa,0.809,2006,808.688,162.278,12019912
Afghanistan,Asia,0.065,2007,65.312,260.536,25654277
Albania,Europe,1.394,2007,1393.931,56.54,3011487
Algeria,Africa,3.007,2007,3007.29,51.676,33149724
Andorra,Europe,6.531,2007,6531.047,19.446,78867
Angola,Africa,0.812,2007,811.754,157.742,19433602
Antigua and Barbuda,North America,5.474,2007,5474.301,41.434,81465
Argentina,South America,4.103,2007,4102.63,39.159,38892931
Armenia,Asia,1.773,2007,1773.161,86.607,2981269
Australia,Oceania,18.521,2007,18521.097,15.413,20394800
Austria,Europe,8.588,2007,8587.802,25.299,8227829
Azerbaijan,Asia,3.22,2007,3219.792,107.888,8391850
Bahrain,Asia,22.202,2007,22202.401,100.617,889164
Bangladesh,Asia,0.266,2007,266.297,145.949,139035505
Barbados,North America,5.31,2007,5310.351,45.186,276323
Belarus,Europe,6.03,2007,6029.734,79.363,9663915
Belgium,Europe,9.843,2007,9843.116,27.909,10478617
Belize,North America,1.772,2007,1772.391,60.175,283800
Benin,Africa,0.473,2007,473.105,139.185,7982225
Bhutan,Asia,0.481,2007,481.295,105.174,648739
Bolivia,South America,1.264,2007,1263.805,79.687,9232306
Bosnia and Herzegovina,Europe,5.02,2007,5020.21,64.694,3765331
Botswana,Africa,2.303,2007,2303.437,79.322,1799078
Brazil,South America,1.854,2007,1854.306,42.492,186127103
Brunei,Asia,19.042,2007,19041.675,30.893,365114
Bulgaria,Europe,6.971,2007,6971.192,69.639,7658972
Burkina Faso,Africa,0.099,2007,98.933,155.018,13421930
Burundi,Africa,0.023,2007,22.894,184.335,7364862
Cambodia,Asia,0.268,2007,267.545,150.96,13273354
Cameroon,Africa,0.327,2007,327.277,155.009,17733410
Canada,North America,17.381,2007,17380.57,17.793,32243753
Cape Verde,Africa,0.968,2007,968.284,60.197,463032
Central African Republic,Africa,0.057,2007,57.17,222.627,4038382
Chad,Africa,0.046,2007,46.219,180.514,10096633
Chile,South America,3.906,2007,3906.184,32.071,16182721
China,Asia,5.306,2007,5306.366,111.342,1303720000
Colombia,South America,1.353,2007,1353.072,36.221,42647723
Comoros,Africa,0.171,2007,171.44,25.122,611627
Costa Rica,North America,1.725,2007,1725.459,49.423,4285502
Croatia,Europe,5.308,2007,5308.317,40.482,4310145
Cuba,North America,2.46,2007,2460.2,42.413,11261582
Cyprus,Europe,7.812,2007,7812.295,41.259,1027662
Czech Republic,Europe,12.003,2007,12003.308,27.136,10211216
Denmark,Europe,9.779,2007,9779.476,100.876,5419432
Djibouti,Africa,0.584,2007,583.52,42.596,783254
Dominica,North America,2.542,2007,2542.481,36.786,70589
Dominican Republic,North America,2.209,2007,2209.05,38.078,9097257
Ecuador,South America,2.143,2007,2143.174,54.619,13825847
El Salvador,North America,1.25,2007,1249.629,107.772,6052123
Equatorial Guinea,Africa,10.393,2007,10393.265,167.03,749535
Eritrea,Africa,0.17,2007,170.196,35.087,2826659
Estonia,Europe,14.903,2007,14902.885,145.452,1354775
Ethiopia,Africa,0.074,2007,73.877,127.867,76346311
Fiji,Oceania,1.507,2007,1506.844,14.831,821604
Finland,Europe,12.309,2007,12309.216,17.564,5246096
France,Europe,5.668,2007,5667.781,92.724,63179351
Gabon,Africa,3.355,2007,3354.691,24.679,1390549
Germany,Europe,9.528,2007,9527.587,132.927,82469422
Ghana,Africa,0.397,2007,397.144,33.425,21814642
Greece,Europe,9.441,2007,9441.123,54.374,10987314
Grenada,North America,2.662,2007,2662.027,96.518,104661
Guatemala,North America,0.921,2007,920.827,178.267,13096028
Guinea,Europe,0.208,2007,208.023,201.806,9109581
Guinea-Bissau,Africa,0.163,2007,162.942,79.066,1344930
Guyana,South America,2.157,2007,2156.798,146.896,746163
Haiti,North America,0.216,2007,215.895,64.385,9195288
Honduras,North America,1.094,2007,1093.677,55.819,7458985
Hungary,Europe,5.355,2007,5355.129,14.857,10087065
Iceland,Europe,7.639,2007,7638.831,148.706,296734
India,Asia,1.13,2007,1129.758,83.921,1147609927
Indonesia,Asia,1.635,2007,1635.121,92.276,226289470
Iraq,Asia,2.746,2007,2746.205,24.543,26922284
Ireland,Europe,10.539,2007,10538.898,30.841,4159914
Israel,Asia,9.276,2007,9275.637,23.215,6930100
Italy,Europe,7.861,2007,7860.768,36.332,57969484
Jamaica,North America,4.342,2007,4342.126,16.012,2740003
Japan,Asia,9.571,2007,9570.784,59.646,127773000
Jordan,Asia,3.372,2007,3371.546,84.239,5765635
Kazakhstan,Asia,12.812,2007,12812.422,118.581,15147029
Kenya,Africa,0.242,2007,242.082,180.419,36624895
Kiribati,Oceania,0.622,2007,621.562,45.268,92325
Kuwait,Asia,28.195,2007,28194.595,116.661,2270198
Kyrgyzstan,Asia,1.228,2007,1228.077,184.131,5162600
Laos,Asia,0.291,2007,291.003,54.356,5751676
Latvia,Europe,3.877,2007,3876.7,54.922,2238799
Lebanon,Asia,3.155,2007,3154.794,178.3,4698763
Lesotho,Africa,0.221,2007,221.448,133.915,1996114
Liberia,Africa,0.185,2007,184.869,65.387,3218116
Libya,Africa,8.266,2007,8266.405,47.172,5798614
Lithuania,Europe,4.088,2007,4088.146,23.817,3322528
Luxembourg,Europe,23.146,2007,23146.17,69.232,465158
Madagascar,Africa,0.089,2007,88.507,183.479,18336724
